"outcome","treated_iso3c","placebo_iso3c","success","error_message"
"exports_gdp","GNQ","IRQ",TRUE,NA
"imports_gdp","BEN","BGD",TRUE,NA
"imports_gdp","BEN","BTN",TRUE,NA
"imports_gdp","BEN","BOL",TRUE,NA
"imports_gdp","BEN","BWA",TRUE,NA
"imports_gdp","BEN","CPV",TRUE,NA
"imports_gdp","BEN","ECU",TRUE,NA
"imports_gdp","BEN","MUS",TRUE,NA
"imports_gdp","BEN","MAR",TRUE,NA
"imports_gdp","BEN","NAM",TRUE,NA
"imports_gdp","BEN","SYC",TRUE,NA
"imports_gdp","BEN","IRQ",TRUE,NA
"imports_gdp","BFA","BGD",TRUE,NA
"imports_gdp","BFA","BTN",TRUE,NA
"imports_gdp","BFA","BOL",TRUE,NA
"imports_gdp","BFA","BWA",TRUE,NA
"imports_gdp","BFA","CPV",TRUE,NA
"imports_gdp","BFA","ECU",TRUE,NA
"imports_gdp","BFA","MUS",TRUE,NA
"imports_gdp","BFA","MAR",TRUE,NA
"imports_gdp","BFA","NAM",TRUE,NA
"imports_gdp","BFA","SYC",TRUE,NA
"imports_gdp","BFA","IRQ",TRUE,NA
"imports_gdp","CIV","BGD",TRUE,NA
"imports_gdp","CIV","BTN",TRUE,NA
"imports_gdp","CIV","BOL",TRUE,NA
"imports_gdp","CIV","BWA",TRUE,NA
"imports_gdp","CIV","CPV",TRUE,NA
"imports_gdp","CIV","ECU",TRUE,NA
"imports_gdp","CIV","MUS",TRUE,NA
"imports_gdp","CIV","MAR",TRUE,NA
"imports_gdp","CIV","NAM",TRUE,NA
"imports_gdp","CIV","SYC",TRUE,NA
"imports_gdp","CIV","IRQ",TRUE,NA
"imports_gdp","MLI","BGD",TRUE,NA
"imports_gdp","MLI","BTN",TRUE,NA
"imports_gdp","MLI","BOL",TRUE,NA
